venue,ranking,title,authors,year,citations,url,pdf_url,keywords
2024 Second International Conference on Emerging Trends in Information Technology and Engineering (ICETITE),1,AI-Powered Data Governance: A Cutting-Edge Method for Ensuring Data Quality for Machine Learning Applications,V. Yandrapalli,2024,9,https://www.semanticscholar.org/paper/64f7410c79c63f179ed2a9fd8c7c5153273b069a,,Computer Science
"2025 5th International Conference on Innovative Research in Applied Science, Engineering and Technology (IRASET)",1,Real-Time Detection and Correction of Signal-Based Attacks in Cyber-Physical Systems,"Yassine Khamlich, A. Oukaira, Fathallah Khamlich, A. Lakhssassi, Jamal Zbitou",2025,1,https://www.semanticscholar.org/paper/f0edc298c48301970add4964256766c11a30ec57,,"Computer Science, Engineering"
2025 5th International Symposium on Computer Technology and Information Science (ISCTIS),1,Federated Learning-Based Data Collaboration Method for Enhancing Edge Cloud AI System Security Using Large Language Models,"Huaiying Luo, Cheng Ji",2025,2,https://www.semanticscholar.org/paper/09c0c73525e05e5679db20c20f5faf87ed02d600,https://arxiv.org/pdf/2506.18087.pdf,"Computer Science, Computer Science, Engineering"
2025 ASEE Annual Conference &amp; Exposition  Proceedings,1,Educating a Responsible AI Workforce: Piloting a Curricular Module on AI Policy in a Graduate Machine Learning Course,"James Weichert, Hoda Eldardiry",2025,1,https://www.semanticscholar.org/paper/3700082e5e1e4b298aabdb18ad38ce864527b9c2,https://arxiv.org/pdf/2502.07931.pdf,"Computer Science, Computer Science, Education, Law, Political Science"
"2025 IEEE 6th International Seminar on Artificial Intelligence, Networking and Information Technology (AINIT)",1,VVF-AI: A Vulnerability Verification Framework Based on AI-Agent,"Chunling Liu, Tiemimg Liu, Yonghe Tang, Jian Lin",2025,1,https://www.semanticscholar.org/paper/bf5bcf87ca5c25082b7d4363043d730203ab1d65,,Computer Science
"2025 IEEE International Conference on Acoustics, Speech, and Signal Processing Workshops (ICASSPW)",1,Discrete Speech Unit Extraction via Independent Component Analysis,"Tomohiko Nakamura, Kwanghee Choi, Keigo Hojo, Yoshiaki Bando, Satoru Fukayama, Shinji Watanabe",2025,2,https://www.semanticscholar.org/paper/7d5ae54185c9051e889f1052880e0ad9e357ae8a,https://arxiv.org/pdf/2501.06562.pdf,"Computer Science, Engineering, Computer Science"
2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),1,Revolutionizing Drug Discovery: Integrating Spatial Transcriptomics with Advanced Computer Vision Techniques,"Zichao Li, Shiqing Qiu, Zong Ke",2025,14,https://www.semanticscholar.org/paper/fb359386966446b95ac22958c90355c6299cd521,,"Computer Science, Computer Science, Medicine"
"2025 International Conference on Artificial Intelligence, Computer, Data Sciences and Applications (ACDSA)",1,Enhancing Trust Through Standards: A Comparative Risk-Impact Framework for Aligning ISO AI Standards with Global Ethical and Regulatory Contexts,Sridharan Sankaran,2025,2,https://www.semanticscholar.org/paper/6f15884fe0ba2cfb74bd989eada4d2f8fd56894d,https://arxiv.org/pdf/2504.16139.pdf,"Computer Science, Computer Science, Law, Political Science"
2025 International Conference on Automation and Computation (AUTOCOM),1,Secure Multi-party Computation for Privacy Preservation in Collaborative Networks,"Godwin Premi. M.S, Awakash Mishra, Ashmeet Kaur, Jyoti Ranjan Sahoo, Prateek Aggarwal, Sanjiv Mathur",2025,2,https://www.semanticscholar.org/paper/2c44ebca59c6c03a692c30007ab5b634fa7118c8,,Computer Science
"2025 International Conference on Data Science, Agents & Artificial Intelligence (ICDSAAI)",1,"Exploring Mechanistic Interpretability in Large Language Models: Challenges, Approaches, and Insights",Sandeep Reddy Gantla,2025,1,https://www.semanticscholar.org/paper/63832a9155720a52f9b2f209a25f5d686f6d7b84,,"Computer Science, Linguistics"
22nd International Symposium on High Voltage Engineering (ISH 2021),1,Reference calibrator for combined and composite high voltage impulse tests,"H. Saadeddine, M. Agazar, J. Meisner",2021,2,https://www.semanticscholar.org/paper/8acafef8730c03d0afeafac7e339744a3118ad77,https://zenodo.org/records/6940061/files/REFERENCE%20CALIBRATOR%20FOR%20COMBINED%20AND%20COMPOSITE%20HIGH%20VOLTAGE%20IMPULSE%20TESTS.pdf,"Engineering, Physics"
3rd Symposium on Security and Privacy in Speech Communication,1,How Risky is Multimodal Fake News Detection? A Review of Cross-Modal Learning Approaches under EU AI Act Constrains,"Razieh Khamsehashari, Vera Schmitt, Tim Polzehl, Salar Mohtaj, Sebastian Möller",2023,6,https://www.semanticscholar.org/paper/c5fa7544d566c7e2d9e60363f0eb3d9fe1444082,https://www.isca-archive.org/spsc_2023/khamsehashari23_spsc.pdf,"Computer Science, Political Science"
4OR,1,"Preference learning and multiple criteria decision aiding: differences, commonalities, and synergies–part I","Eyke Hüllermeier, Roman Słowiński",2024,11,https://www.semanticscholar.org/paper/1e8c9561421def6f008cf62c6114656ffb879372,https://link.springer.com/content/pdf/10.1007/s10288-023-00560-6.pdf,"Computer Science, Computer Science, Mathematics"
6th International Conference on Higher Education Advances (HEAd'20),1,A concept of a mainly digitalized course on control theory including problembased practical units and digital supported exams,B. Rösel,2020,3,https://www.semanticscholar.org/paper/df3953838e2d2ae865aa4cced8bf8d5816b26262,https://doi.org/10.4995/head20.2020.11112,"Computer Science, Engineering, Computer Science"
A Handbook of Management Theories and Models for Office Environments and Services,1,Alignment theory,"M. Arkesteijn, C. Heywood",2021,1,https://www.semanticscholar.org/paper/da90e6b8134082961eacc2982cd7e1d220ec9564,https://api.taylorfrancis.com/content/chapters/oa-edit/download?identifierName=doi&identifierValue=10.1201/9781003128786-9&type=chapterpdf,"Computer Science, Business"
AAAI Conference on Artificial Intelligence,1,Improving the Adversarial Robustness and Interpretability of Deep Neural Networks by Regularizing their Input Gradients,"A. Ross, F. Doshi-Velez",2017,700,https://www.semanticscholar.org/paper/ac8e45a0451ac578f17f631fc2663ee4b98b83a9,https://ojs.aaai.org/index.php/AAAI/article/download/11504/11363,"Computer Science, Mathematics, Computer Science"
AAAI Conference on Artificial Intelligence,2,Energy and Policy Considerations for Modern Deep Learning Research,"Emma Strubell, Ananya Ganesh, A. McCallum",2020,608,https://www.semanticscholar.org/paper/5f2c083f80073c56c41c4ea66ae48312513c55aa,https://ojs.aaai.org/index.php/AAAI/article/download/7123/6977,"Computer Science, Environmental Science, Economics, Computer Science, Political Science, Engineering"
AAAI Conference on Artificial Intelligence,3,Preference Ranking Optimization for Human Alignment,"Feifan Song, Yu Bowen, Minghao Li, Haiyang Yu, Fei Huang, Yongbin Li, Houfeng Wang",2023,295,https://www.semanticscholar.org/paper/19db2d61f20a6c439cc79f28ef4c9e4bf26cd20e,http://arxiv.org/pdf/2306.17492,"Computer Science, Computer Science"
AAAI Conference on Artificial Intelligence,4,Graph Structure Learning with Variational Information Bottleneck,"Qingyun Sun, Jianxin Li, Hao Peng, Jia Wu, Xingcheng Fu, Cheng Ji, Philip S. Yu",2021,179,https://www.semanticscholar.org/paper/7fc37fbd2f808984cfc5c78410a993f89eb0ef49,https://ojs.aaai.org/index.php/AAAI/article/download/20335/20094,"Computer Science, Computer Science, Mathematics"
AAAI Conference on Artificial Intelligence,5,Robustness Guarantees for Bayesian Inference with Gaussian Processes,"L. Cardelli, M. Kwiatkowska, L. Laurenti, A. Patané",2018,52,https://www.semanticscholar.org/paper/3a50bdb7d7b54c0dd660b243da874094e0da31da,https://ojs.aaai.org/index.php/AAAI/article/download/4772/4650,"Computer Science, Mathematics, Computer Science, Biology"
AAAI Conference on Artificial Intelligence,6,Delving into the Adversarial Robustness of Federated Learning,"J Zhang, Bo Li, Chen Chen, L. Lyu, Shuang Wu, Shouhong Ding, Chao Wu",2023,47,https://www.semanticscholar.org/paper/29b64e41bbea997019b64696d2374c3c96dbdf5c,http://arxiv.org/pdf/2302.09479,"Computer Science, Computer Science"
AAAI Conference on Artificial Intelligence,7,LatestEval: Addressing Data Contamination in Language Model Evaluation through Dynamic and Time-Sensitive Test Construction,"Yucheng Li, Frank Geurin, Chenghua Lin",2023,43,https://www.semanticscholar.org/paper/8106d03fb984afd8c3d066cd4f993eb2616a0da5,https://arxiv.org/pdf/2312.12343.pdf,"Computer Science, Computer Science, Linguistics"
AAAI Conference on Artificial Intelligence,8,Foundations of Cooperative AI,"Vincent Conitzer, Caspar Oesterheld",2023,32,https://www.semanticscholar.org/paper/5ccda8ca1f04594f3dadd621fbf364c8ec1b8474,https://ojs.aaai.org/index.php/AAAI/article/download/26791/26563,"Computer Science, Computer Science"
AAAI Conference on Artificial Intelligence,9,WAT: Improve the Worst-class Robustness in Adversarial Training,"Boqi Li, Weiwei Liu",2023,30,https://www.semanticscholar.org/paper/a9a0b9be86acb372d78f349b84a7f21fa2f53919,http://arxiv.org/pdf/2302.04025,"Computer Science, Computer Science"
AAAI Conference on Artificial Intelligence,10,Adversarial Robust Deep Reinforcement Learning Requires Redefining Robustness,Ezgi Korkmaz,2023,29,https://www.semanticscholar.org/paper/6143e809cd2e9c7a18c3bc8819419fd3b02fbcf2,http://arxiv.org/pdf/2301.07487,"Computer Science, Mathematics, Computer Science"
AAAI Conference on Artificial Intelligence,11,Computing Ex Ante Coordinated Team-Maxmin Equilibria in Zero-Sum Multiplayer Extensive-Form Games,"Youzhi Zhang, Bo An",2020,28,https://www.semanticscholar.org/paper/19b08d257228cf340f1153b6b5cc0d44a4ffa98c,https://ojs.aaai.org/index.php/AAAI/article/download/16728/16535,"Computer Science, Computer Science"
AAAI Conference on Artificial Intelligence,12,Direct Heterogeneous Causal Learning for Resource Allocation Problems in Marketing,"Hao Zhou, Shaoming Li, Guibin Jiang, Jiaqi Zheng, Dong Wang",2022,25,https://www.semanticscholar.org/paper/f1ca2cce6c8e53488983a89bccfe34c976202f7b,https://arxiv.org/pdf/2211.15728,"Computer Science, Computer Science, Business"
AAAI Conference on Artificial Intelligence,13,Team Correlated Equilibria in Zero-Sum Extensive-Form Games via Tree Decompositions,"B. Zhang, T. Sandholm",2021,23,https://www.semanticscholar.org/paper/12cd4c73a649edadae04c4c747d13aa5e2a00233,https://ojs.aaai.org/index.php/AAAI/article/download/20461/20220,"Computer Science, Computer Science, Mathematics"
AAAI Conference on Artificial Intelligence,14,Adversarial Training for Improving Model Robustness? Look at Both Prediction and Interpretation,"Hanjie Chen, Yangfeng Ji",2022,23,https://www.semanticscholar.org/paper/1afc53f501e0801a7385084965aed84d28d35cf4,http://arxiv.org/pdf/2203.12709,"Computer Science, Computer Science"
AAAI Conference on Artificial Intelligence,15,MuMA-ToM: Multi-modal Multi-Agent Theory of Mind,"Haojun Shi, Suyu Ye, Xinyu Fang, Chuanyang Jin, Layla Isik, Yen-Ling Kuo, Tianmin Shu",2024,23,https://www.semanticscholar.org/paper/55daf50dce9e6c48b239aecba96173a3c6d30965,https://arxiv.org/pdf/2408.12574.pdf,"Computer Science, Computer Science, Psychology"
AAAI Conference on Artificial Intelligence,16,"Open Models, Closed Minds? On Agents Capabilities in Mimicking Human Personalities through Open Large Language Models","Lucio La Cava, Davide Costa, Andrea Tagarelli",2024,20,https://www.semanticscholar.org/paper/8a3e9ba742005e8141a68c75691b94998331e4d5,https://arxiv.org/pdf/2401.07115.pdf,"Computer Science, Physics, Computer Science, Psychology"
AAAI Conference on Artificial Intelligence,17,Attention Guided CAM: Visual Explanations of Vision Transformer Guided by Self-Attention,"Saebom Leem, Hyunseok Seo",2024,19,https://www.semanticscholar.org/paper/ffc855594cad345ea5a1cce2ee27095bec767bc8,https://arxiv.org/pdf/2402.04563.pdf,"Computer Science, Computer Science"
AAAI Conference on Artificial Intelligence,18,The Power of Literal Equivalence in Model Counting,"Yong Lai, Kuldeep S. Meel, R. Yap",2021,16,https://www.semanticscholar.org/paper/5c937cc544f4fb052659ece6068144a40e81f5b9,https://doi.org/10.1609/aaai.v35i5.16503,"Computer Science, Computer Science"
AAAI Conference on Artificial Intelligence,19,Amata: An Annealing Mechanism for Adversarial Training Acceleration,"Nanyang Ye, Qianxiao Li, Xiao-Yun Zhou, Zhanxing Zhu",2019,16,https://www.semanticscholar.org/paper/085f82a273239242fd511037daf0a84e7e52810b,https://ojs.aaai.org/index.php/AAAI/article/download/17278/17085,"Computer Science, Materials Science, Computer Science"
AAAI Conference on Artificial Intelligence,20,Decentralized Riemannian Algorithm for Nonconvex Minimax Problems,"Xidong Wu, Zhengmian Hu, Heng Huang",2023,15,https://www.semanticscholar.org/paper/594d1a5df8db8de6dfaf2f703d55202a2bb7a58d,http://arxiv.org/pdf/2302.03825,"Computer Science, Mathematics, Computer Science, Mathematics"
AAAI Conference on Human Computation & Crowdsourcing,1,From Human Explanation to Model Interpretability: A Framework Based on Weight of Evidence,"David Alvarez-Melis, Harmanpreet Kaur, Hal Daum'e, Hanna M. Wallach, Jennifer Wortman Vaughan",2021,32,https://www.semanticscholar.org/paper/ab3c7124f1b1c5518e180f48238dd9cee55d35a9,https://ojs.aaai.org/index.php/HCOMP/article/download/18938/18703,"Computer Science, Computer Science, Philosophy"
AAAI Conference on Human Computation & Crowdsourcing,2,"""A Game Without Competition Is Hardly a Game"": The Impact of Competitions on Player Activity in a Human Computation Game""","Neal Reeves, Peter West, E. Simperl",2018,10,https://www.semanticscholar.org/paper/325d53cf71e858b10e65d33a34777fc5fdaade51,https://ojs.aaai.org/index.php/HCOMP/article/download/13329/13177,"Computer Science, Computer Science"
AAAI Conference on Human Computation & Crowdsourcing,3,StreamCollab: A Streaming Crowd-AI Collaborative System to Smart Urban Infrastructure Monitoring in Social Sensing,"Yang Zhang, Lanyu Shang, Ruohan Zong, Zengwu Wang, Ziyi Kou, Dong Wang",2021,8,https://www.semanticscholar.org/paper/d6e6ec1cde1b61908f6a9c9bf7ff6f9a6ba89fba,https://ojs.aaai.org/index.php/HCOMP/article/download/18950/18715,"Computer Science, Computer Science, Environmental Science, Engineering"
AAAI Conference on Human Computation & Crowdsourcing,4,Extracting Structured Information via Automatic + Human Computation,"Ellie Pavlick, Chris Callison-Burch",2015,2,https://www.semanticscholar.org/paper/aeeb84820e23896ca37f904627517b3df2b4e72a,https://doi.org/10.1609/hcomp.v3i1.13253,"Computer Science, Computer Science, Political Science"
AAAI Spring Symposia,1,Probabilistic Foundations for Metacognition via Hybrid-AI,"Paulo Shakarian, Gerardo I. Simari, Nathaniel D. Bastian",2025,2,https://www.semanticscholar.org/paper/92d31705a12c2374e8eaaf28fab2fa369026c298,https://arxiv.org/pdf/2502.05398.pdf,"Computer Science, Computer Science, Philosophy"
AAAI Spring Symposia,2,"AI Health Agents: Pathway2vec, ReflectE, Category Theory, and Longevity","Melanie Swan, Takashi Kido, Eric Roland, Renato P. dos Santos",2024,1,https://www.semanticscholar.org/paper/99fcee5d06cba3a3104152c30287e128e7ed9322,https://ojs.aaai.org/index.php/AAAI-SS/article/download/31249/33409,"Computer Science, Computer Science, Medicine"
AAAI Workshops,1,Value Alignment or Misalignment - What Will Keep Systems Accountable?,"Thomas Arnold, Daniel Kasenberg, Matthias Scheutz",2017,113,https://www.semanticscholar.org/paper/c7d0ff05ee7dd1e7996604e0b4e93701540a18bc,,"Computer Science, Computer Science, Philosophy"
"AAAI/ACM Conference on AI, Ethics, and Society",1,Outsider Oversight: Designing a Third Party Audit Ecosystem for AI Governance,"Inioluwa Deborah Raji, Peggy Xu, Colleen Honigsberg, Daniel E. Ho",2022,110,https://www.semanticscholar.org/paper/c253ab3e988d996b9253f8437cbdc37c415a2f0b,https://dl.acm.org/doi/pdf/10.1145/3514094.3534181,"Computer Science, Computer Science, Law"
"AAAI/ACM Conference on AI, Ethics, and Society",2,Red-Teaming for Generative AI: Silver Bullet or Security Theater?,"Michael Feffer, Anusha Sinha, Zachary Chase Lipton, Hoda Heidari",2024,90,https://www.semanticscholar.org/paper/4fda99880cdbf8f178f01eb4c8dbdae7f959ea94,https://arxiv.org/pdf/2401.15897.pdf,"Computer Science, Computer Science, Law, Political Science"
"AAAI/ACM Conference on AI, Ethics, and Society",3,Should Artificial Intelligence Governance be Centralised?: Design Lessons from History,"P. Cihon, M. Maas, Luke Kemp",2020,47,https://www.semanticscholar.org/paper/440ef5cfe32c1708b05bed5fc12d17e97df5492f,https://arxiv.org/pdf/2001.03573.pdf,"Business, Computer Science, Computer Science, Political Science, History"
"AAAI/ACM Conference on AI, Ethics, and Society",4,Learning Norms from Stories: A Prior for Value Aligned Agents,"Spencer Frazier, Md Sultan Al Nahian, Mark O. Riedl, Brent Harrison",2019,40,https://www.semanticscholar.org/paper/47f8fc90b8a977022caba627b82e492d9c588744,https://dl.acm.org/doi/pdf/10.1145/3375627.3375825,"Computer Science, Computer Science"
"AAAI/ACM Conference on AI, Ethics, and Society",5,AI Alignment and Human Reward,Patrick Butlin,2021,22,https://www.semanticscholar.org/paper/72edf3f7e5508ad7247a7fc80875b2287105dafd,https://ora.ox.ac.uk/objects/uuid:480d02e4-355d-4802-bba4-bcc6c585bce1/files/s9g54xj33f,"Computer Science, Computer Science, Philosophy"
"AAAI/ACM Conference on AI, Ethics, and Society",6,The Bureaucratic Challenge to AI Governance: An Empirical Assessment of Implementation at U.S. Federal Agencies,"Christie Lawrence, Isaac Cui, Daniel E. Ho",2023,17,https://www.semanticscholar.org/paper/857be9002309d77d149dca32bee06e36211d031d,https://dl.acm.org/doi/pdf/10.1145/3600211.3604701,"Computer Science, Political Science, Computer Science"
"AAAI/ACM Conference on AI, Ethics, and Society",7,Reclaiming the Digital Commons: A Public Data Trust for Training Data,"Alan Chan, Herbie Bradley, Nitarshan Rajkumar",2023,17,https://www.semanticscholar.org/paper/6b2395ebcdc3f284d30fefe5d9877aa3caa7b53f,https://dl.acm.org/doi/pdf/10.1145/3600211.3604658,"Computer Science, Computer Science, Political Science"
"AAAI/ACM Conference on AI, Ethics, and Society",8,From Coded Bias to Existential Threat: Expert Frames and the Epistemic Politics of AI Governance,Hendrik R. Schopmans,2022,11,https://www.semanticscholar.org/paper/3ba58b32bfa51ee5cebb0b2cde2a82a2326927d8,,"Computer Science, Political Science, Computer Science, Sociology"
"AAAI/ACM Conference on AI, Ethics, and Society",9,Compute North vs. Compute South: The Uneven Possibilities of Compute-based AI Governance Around the Globe,"V. Lehdonvirta, Bóxī Wú, Zoe Hawkins",2024,11,https://www.semanticscholar.org/paper/342501525553d5751c0bf67a7e24a908bbeae188,https://ora.ox.ac.uk/objects/uuid:6306c118-58ca-49ba-b7a0-4ee7b9423d5a/files/sng451k32q,"Computer Science, Computer Science, Political Science, Geography"
"AAAI/ACM Conference on AI, Ethics, and Society",10,"How Do AI Companies ""Fine-Tune"" Policy? Examining Regulatory Capture in AI Governance","Kevin Wei, Carson Ezell, Nick Gabrieli, Chinmay Deshpande",2024,9,https://www.semanticscholar.org/paper/ecc8a99f36ede8872d62fe93b11eef16660a5a15,https://arxiv.org/pdf/2410.13042.pdf,"Computer Science, Political Science, Computer Science"
"AAAI/ACM Conference on AI, Ethics, and Society",11,Measuring Human-AI Value Alignment in Large Language Models,"Hakim Norhashim, Jungpil Hahn",2024,6,https://www.semanticscholar.org/paper/f365479bca556727b3d4f1709d7e22508833e979,,"Computer Science, Computer Science, Linguistics"
"AAAI/ACM Conference on AI, Ethics, and Society",12,From Algorithmic Audits to Actual Accountability: Overcoming Practical Roadblocks on the Path to Meaningful Audit Interventions for AI Governance,Inioluwa Deborah Raji,2022,5,https://www.semanticscholar.org/paper/38a9b0c5b2951a1a5009afe63b977c2ae9a34028,,"Computer Science, Computer Science, Political Science"
"AAAI/ACM Conference on AI, Ethics, and Society",13,Anticipatory regulatory instruments for AI systems: A comparative study of regulatory sandbox schemes,Deborah Morgan,2023,5,https://www.semanticscholar.org/paper/e4800ee06f3f096f4f6975b8e0ceeb5a4ace9129,,"Computer Science, Computer Science, Law, Political Science, Economics"
"AAAI/ACM Conference on AI, Ethics, and Society",14,Introducing the AI Governance and Regulatory Archive (AGORA): An Analytic Infrastructure for Navigating the Emerging AI Governance Landscape,"Zachary Arnold, Danielle Schiff, K. Schiff, Brian Love, Jennifer Melot, Neha Singh, Lindsay Jenkins, Ashley Lin, Konstantin Pilz, Ogadinma Enweareazu, Tyler Girard",2024,4,https://www.semanticscholar.org/paper/527e88f1561b76870d75266ba12f5f7e17b18148,,"Computer Science, Law, Computer Science"
"AAAI/ACM Conference on AI, Ethics, and Society",15,Effective Enforceability of EU Competition Law Under AI Development Scenarios: a Framework for Anticipatory Governance,"Shin-Shin Hua, Haydn Belfield",2023,3,https://www.semanticscholar.org/paper/8ab27e590fccc2a2a1fcd6b820ff3e2d3d36e36e,https://dl.acm.org/doi/pdf/10.1145/3600211.3604694,"Computer Science, Law, Computer Science, Political Science"
"AAAI/ACM Conference on AI, Ethics, and Society",16,Dynamics of Moral Behavior in Heterogeneous Populations of Learning Agents,"Elizaveta Tennant, Stephen Hailes, Mirco Musolesi",2024,2,https://www.semanticscholar.org/paper/45172625d1d295e5acecf14688ae8c1248f5f49e,http://arxiv.org/pdf/2403.04202,"Computer Science, Computer Science, Psychology"
"AAAI/ACM Conference on AI, Ethics, and Society",17,"Benchmarked Ethics: A Roadmap to AI Alignment, Moral Knowledge, and Control",Aidan Kierans,2023,1,https://www.semanticscholar.org/paper/bf48beef481a30d9886a3fb9c0d98e89b1ee0eec,,"Computer Science, Computer Science, Philosophy"
"AAAI/ACM Conference on AI, Ethics, and Society",18,The Role of Governance in Bridging AI Responsibility Gaps: An interdisciplinary evaluation of emerging AI governance measures,Bhargavi Ganesh,2023,1,https://www.semanticscholar.org/paper/848898d27f2d73ec5cff63e17c081a1c7cd9640b,,"Computer Science, Political Science, Computer Science, Philosophy"
"AAAI/ACM Conference on AI, Ethics, and Society",19,Learning When Not to Measure: Theorizing Ethical Alignment in LLMs,William Rathje,2024,1,https://www.semanticscholar.org/paper/43331f3e10e8fa4971284d357cb49501814ab40a,,"Computer Science, Philosophy, Computer Science, Law"
AACL,1,The lack of theory is painful: Modeling Harshness in Peer Review Comments,"Rajeev Verma, Rajarshi Roychoudhury, Tirthankar Ghosal",2022,6,https://www.semanticscholar.org/paper/7b5819fe15ef5033c457c18e2e5a77025ed1e876,,"Computer Science, Computer Science"
ACM Asia Conference on Computer and Communications Security,1,MAB-Malware: A Reinforcement Learning Framework for Blackbox Generation of Adversarial Malware,"Wei Song, Xuezixiang Li, Sadia Afroz, Deepali Garg, Dmitry Kuznetsov, Heng Yin",2022,59,https://www.semanticscholar.org/paper/b2b30470b2893f38b9f7e3581b2a05f3c1f3c69b,https://dl.acm.org/doi/pdf/10.1145/3488932.3497768,"Computer Science, Computer Science"
ACM Asia Conference on Computer and Communications Security,2,Semantic Ranking for Automated Adversarial Technique Annotation in Security Text,"Udesh Kumarasinghe, Ahmed Lekssays, H. Sencar, Sabri Boughorbel, Charitha Elvitigala, Preslav Nakov",2024,10,https://www.semanticscholar.org/paper/ffc6c18e9c89e9a20a31d6c351499bc408c9b85a,https://arxiv.org/pdf/2403.17068,"Computer Science, Computer Science"
ACM Asia Conference on Computer and Communications Security,3,Boost Off/On-Manifold Adversarial Robustness for Deep Learning with Latent Representation Mixup,"Mengdie Huang, Yi Xie, Xiaofeng Chen, Jin Li, Chang Dong, Zheli Liu, Willy Susilo",2023,3,https://www.semanticscholar.org/paper/1c823689c805a663b72af814f103e46faaa1fb2a,,"Computer Science, Computer Science"
ACM Cloud and Autonomic Computing Conference,1,Fixed-Time Distributed Cooperative Learning for Stochastic Configuration Networks,"Shuling Li, Wu Ai, X. Ge",2020,1,https://www.semanticscholar.org/paper/c9425cff6c611c46edfe59a2f7201990f357b0c6,,Computer Science
ACM Computing Surveys,1,A Survey of Adversarial Defenses and Robustness in NLP,"Shreyansh Goyal, Sumanth Doddapaneni, Mitesh M. Khapra, B. Ravindran",2023,128,https://www.semanticscholar.org/paper/83cebf919635504786fc220d569284842b0f0a09,,"Computer Science, Computer Science"
ACM Computing Surveys,2,Multimodal Recommender Systems: A Survey,"Qidong Liu, Jiaxi Hu, Yutian Xiao, Xiang Zhao, Jingtong Gao, Wanyu Wang, Qing Li, Jiliang Tang",2023,64,https://www.semanticscholar.org/paper/43674b7c8d4858ef560794fc5c0c9add42fd4cf4,https://arxiv.org/pdf/2302.03883,"Computer Science, Computer Science"
ACM Computing Surveys,3,Physics-Informed Computer Vision: A Review and Perspectives,"C. Banerjee, Kien Nguyen, C. Fookes, Karniadakis George",2023,45,https://www.semanticscholar.org/paper/763fd38d01fb5804aa576ebcb28d123e643d1874,https://dl.acm.org/doi/pdf/10.1145/3689037,"Engineering, Computer Science, Physics, Computer Science"
ACM Computing Surveys,4,"A Review on Tools, Mechanics, Benefits, and Challenges of Gamified Software Testing","Tommaso Fulcini, Riccardo Coppola, Luca Ardito, Marco Torchiano",2023,29,https://www.semanticscholar.org/paper/9f8eb44445eac4dafd0422f654d1bcdc4f16b285,https://dl.acm.org/doi/pdf/10.1145/3582273,"Computer Science, Computer Science, Education"
ACM Computing Surveys,5,"Trustworthy Distributed AI Systems: Robustness, Privacy, and Governance","Wenqi Wei, Ling Liu",2024,28,https://www.semanticscholar.org/paper/2e0fab0edfcc00f00be276820a273c0724d93ea0,https://dl.acm.org/doi/pdf/10.1145/3645102,"Computer Science, Computer Science, Political Science"
ACM Computing Surveys,6,A Survey of Robustness and Safety of 2D and 3D Deep Learning Models against Adversarial Attacks,"Yanjie Li, Bin Xie, Songtao Guo, Yuanyuan Yang, Bin Xiao",2023,22,https://www.semanticscholar.org/paper/4e77d99f0f8e29a01cd2a24318579181cd271c40,https://arxiv.org/pdf/2310.00633,"Computer Science, Computer Science, Engineering"
ACM Computing Surveys,7,Adversarial Robustness of Neural Networks from the Perspective of Lipschitz Calculus: A Survey,"Monty-Maximilian Zühlke, Daniel Kudenko",2024,15,https://www.semanticscholar.org/paper/5f3dbc33c352f68ad2b088c3420b79e2135f7f38,https://dl.acm.org/doi/pdf/10.1145/3648351,"Computer Science, Computer Science, Mathematics"
ACM Computing Surveys,8,It Is All about Data: A Survey on the Effects of Data on Adversarial Robustness,"Peiyu Xiong, Michael W. Tegegn, Jaskeerat Singh Sarin, Shubhraneel Pal, Julia Rubin",2023,12,https://www.semanticscholar.org/paper/c21fa1a431a38647c1f8d90e7dfff0dac1344465,http://arxiv.org/pdf/2303.09767,"Computer Science, Computer Science"
ACM Conference on Economics and Computation,1,Optimal and Differentially Private Data Acquisition: Central and Local Mechanisms,"Alireza Fallah, A. Makhdoumi, Azarakhsh Malekian, A. Ozdaglar",2022,34,https://www.semanticscholar.org/paper/557dce8787129ca623fcb2cca2e76e9920347b69,https://arxiv.org/pdf/2201.03968.pdf,"Computer Science, Computer Science, Economics"
ACM Conference on Economics and Computation,2,The Revelation Principle for Mechanism Design with Reporting Costs,"Andrew Kephart, Vincent Conitzer",2016,29,https://www.semanticscholar.org/paper/b9103541c323ef03de288a4907280150d9f456ed,,"Computer Science, Mathematics, Computer Science, Economics"
ACM Conference on Economics and Computation,3,On Existence of Truthful Fair Cake Cutting Mechanisms,Biaoshuai Tao,2021,23,https://www.semanticscholar.org/paper/1c7663b65c8d56426085e6122260592df8fe4ceb,https://arxiv.org/pdf/2104.07387.pdf,"Computer Science, Economics"
ACM Conference on Economics and Computation,4,"Optimal Correlated Equilibria in General-Sum Extensive-Form Games: Fixed-Parameter Algorithms, Hardness, and Two-Sided Column-Generation","B. Zhang, Gabriele Farina, A. Celli, T. Sandholm",2022,22,https://www.semanticscholar.org/paper/22383ab2666f326227aaaa9871563e4cda57c17d,https://arxiv.org/pdf/2203.07181.pdf,"Computer Science, Mathematics, Computer Science"
ACM Conference on Economics and Computation,5,Tight Incentive Analysis on Sybil Attacks to Market Equilibrium of Resource Exchange over General Networks,"Yukun Cheng, Xiaotie Deng, Yuhao Li, X. Yan",2022,5,https://www.semanticscholar.org/paper/8b60d65446e57bc65ac679c7f9871b445342a5b1,,"Computer Science, Computer Science, Economics"
